AddDataBatch,r2_test0,r2_extra_test0,r2_test1,r2_extra_test1,mse_test0,mse_extra_test0,mse_test1,mse_extra_test1
5,0.8387,-4.0122,0.8175,0.2406,0.0388,0.5872,0.0439,0.0890
6,0.8387,-3.7366,0.8113,0.6589,0.0388,0.3528,0.0454,0.0254
