rank,feature,source,mean_abs_shap
116,CAT_ACSF3,acsf,0.0010292281509196547
117,REA_VSA_EState4,rdkit,0.00099725255064532
118,CAT_SMR_VSA4,rdkit,0.0009043396368300584
119,CAT_LabuteASA,rdkit,0.0008880907158203782
120,REA_BCUT2D_LOGPLOW,rdkit,0.0008407320691650096
121,SOL_XTB1,xtb,0.000814140612402839
122,CAT_ACSF93,acsf,0.0008008236599508659
123,SOL_XTB11,xtb,0.0007982135236092669
124,CAT_EState_VSA9,rdkit,0.0007804585866240791
125,CAT_EState_VSA7,rdkit,0.0007706972723032214
126,CAT_RingCount,rdkit,0.0007397165266249509
127,CAT_SMR_VSA9,rdkit,0.0007373840010480704
128,SOL_ACSF16,acsf,0.0007336481044623245
129,CAT_NumAliphaticRings,rdkit,0.0007080623289364923
130,SOL_ACSF0,acsf,0.000707888807164915
131,SOL_ACSF81,acsf,0.0006935754030832394
132,SOL_MaxPartialCharge,rdkit,0.0006514283085396896
133,CAT_ACSF18,acsf,0.0006447853874852833
134,SOL_ACSF10,acsf,0.0006436596982737884
135,CAT_SlogP_VSA11,rdkit,0.0006415465806439116
136,REA_HeavyAtomMolWt,rdkit,0.0006378183876735799
137,CAT_NumHeterocycles,rdkit,0.0006206793200669766
138,CAT_ACSF17,acsf,0.0006187065467821395
139,CAT_TPSA,rdkit,0.0006132437714004035
140,SOL_MolWt,rdkit,0.0006009355183038785
141,REA_AvgIpc,rdkit,0.0005921216835901252
142,CAT_SlogP_VSA1,rdkit,0.0005866853593189971
143,SOL_SlogP_VSA2,rdkit,0.0005818368774767816
144,SOL_FpDensityMorgan3,rdkit,0.0005418533077362626
145,CAT_ACSF16,acsf,0.0005154608817355455
146,CAT_ACSF37,acsf,0.0005056136101609284
147,SOL_BCUT2D_MWHI,rdkit,0.00046911251125114015
148,CAT_ACSF11,acsf,0.00045872613230359577
149,SOL_XTB7,xtb,0.0004574075896228468
150,SOL_ACSF94,acsf,0.0004491099294972645
151,CAT_VSA_EState2,rdkit,0.00042749552920023605
152,CAT_ACSF136,acsf,0.00041692976187481624
153,CAT_ACSF102,acsf,0.00036753768416611187
154,CAT_ACSF101,acsf,0.00031691889230694347
155,SOL_BCUT2D_MRHI,rdkit,0.00031138340631391685
156,CAT_fr_NH0,rdkit,0.0003060729927403897
157,SOL_Kappa1,rdkit,0.0003055096038383314
158,SOL_XTB5,xtb,0.0003044846149529184
159,CAT_NumSpiroAtoms,rdkit,0.0002897084509892078
160,SOL_Chi2n,rdkit,0.0002534848409467391
161,CAT_ACSF39,acsf,0.0002452633332909974
162,SOL_XTB15,xtb,0.0002452242494705583
163,SOL_ExactMolWt,rdkit,0.0002405669443269401
164,CAT_MolMR,rdkit,0.0002312627218390197
165,CAT_ACSF36,acsf,0.0002301760684470096
166,CAT_fr_halogen,rdkit,0.00022855666187517575
167,CAT_ACSF13,acsf,0.00022548643712762655
168,SOL_PEOE_VSA1,rdkit,0.00021356504167430282
169,CAT_NumAromaticCarbocycles,rdkit,0.00020963381851349809
170,CAT_ACSF131,acsf,0.0002031767311664616
171,CAT_NumAliphaticHeterocycles,rdkit,0.00020254297676985705
172,SOL_Chi1n,rdkit,0.00018823686555514334
173,SOL_AvgIpc,rdkit,0.00016439388607620786
174,CAT_NumSaturatedRings,rdkit,0.0001599084064602799
175,SOL_BCUT2D_CHGHI,rdkit,0.00015499797697962904
176,SOL_XTB0,xtb,0.00014887719724780487
177,CAT_ACSF138,acsf,0.0001459379896618745
178,SOL_HallKierAlpha,rdkit,0.00014393994922487139
179,SOL_Chi2v,rdkit,0.00014334129442721878
180,SOL_BertzCT,rdkit,0.0001408339727567198
181,SOL_BalabanJ,rdkit,0.00013582117112575384
182,CAT_fr_methoxy,rdkit,0.00013369050772496044
183,CAT_NHOHCount,rdkit,0.00012249310584816522
184,SOL_ACSF15,acsf,0.00012222047688531352
185,CAT_fr_aryl_methyl,rdkit,0.00011900576846193782
186,SOL_ACSF18,acsf,0.00011559338819471161
187,SOL_SMR_VSA6,rdkit,0.00011524263850249532
188,SOL_ACSF17,acsf,0.00010592896862999065
189,SOL_EState_VSA2,rdkit,0.00010486894421059991
190,SOL_ACSF12,acsf,9.996410664234366e-05
191,SOL_MinAbsPartialCharge,rdkit,9.495811299769961e-05
192,CAT_NumUnspecifiedAtomStereoCenters,rdkit,9.464983607196778e-05
193,SOL_Kappa2,rdkit,8.765139383436366e-05
194,CAT_ACSF139,acsf,8.580080190595086e-05
195,CAT_ACSF112,acsf,7.863449834070584e-05
196,SOL_SMR_VSA1,rdkit,7.67155145031155e-05
197,CAT_NumHeteroatoms,rdkit,7.612548851412707e-05
198,CAT_EState_VSA10,rdkit,7.512911180335317e-05
199,SOL_ACSF19,acsf,7.489828646997296e-05
200,CAT_ACSF116,acsf,7.062189853376997e-05
201,SOL_XTB13,xtb,6.764708394848919e-05
202,SOL_XTB8,xtb,6.0045514718544254e-05
203,SOL_ACSF1,acsf,5.9046384933829756e-05
204,SOL_ACSF93,acsf,5.821185182599512e-05
205,CAT_NumHAcceptors,rdkit,5.658838154255817e-05
206,SOL_XTB4,xtb,5.569326091632108e-05
207,SOL_BCUT2D_MRLOW,rdkit,5.362934011186079e-05
208,SOL_ACSF122,acsf,4.599828958604913e-05
209,CAT_ACSF114,acsf,4.2968695685712934e-05
210,REA_BCUT2D_LOGPHI,rdkit,4.195908941757941e-05
211,SOL_XTB2,xtb,4.174038543342416e-05
212,CAT_ACSF133,acsf,4.0119472335229224e-05
213,SOL_ACSF92,acsf,3.926775576317797e-05
214,SOL_PEOE_VSA7,rdkit,2.898347582739263e-05
215,CAT_fr_NH2,rdkit,2.715607618266164e-05
216,REA_ACSF9,acsf,0.0
217,REA_ACSF8,acsf,0.0
218,REA_ACSF3,acsf,0.0
219,REA_ACSF10,acsf,0.0
220,REA_fr_allylic_oxid,rdkit,0.0
221,REA_BCUT2D_MRHI,rdkit,0.0
222,REA_ACSF11,acsf,0.0
223,REA_Chi2v,rdkit,0.0
224,REA_ACSF16,acsf,0.0
225,REA_ACSF92,acsf,0.0
226,REA_ACSF93,acsf,0.0
227,REA_ACSF94,acsf,0.0
228,REA_ACSF100,acsf,0.0
229,REA_ACSF101,acsf,0.0
230,REA_ACSF103,acsf,0.0
231,SOL_ACSF2,acsf,0.0
232,SOL_ACSF3,acsf,0.0
233,REA_ExactMolWt,rdkit,0.0
234,SOL_ACSF8,acsf,0.0
235,REA_FpDensityMorgan3,rdkit,0.0
236,SOL_XTB12,xtb,0.0
237,SOL_XTB14,xtb,0.0
238,SOL_XTB16,xtb,0.0
239,SOL_XTB17,xtb,0.0
240,SOL_XTB18,xtb,0.0
241,REA_fr_benzene,rdkit,0.0
242,REA_MaxPartialCharge,rdkit,0.0
243,REA_fr_halogen,rdkit,0.0
244,SOL_NumHeterocycles,rdkit,0.0
245,SOL_NumRotatableBonds,rdkit,0.0
246,REA_MinPartialCharge,rdkit,0.0
247,CAT_ACSF14,acsf,0.0
248,REA_MaxAbsPartialCharge,rdkit,0.0
249,REA_RingCount,rdkit,0.0
250,REA_VSA_EState2,rdkit,0.0
251,REA_VSA_EState3,rdkit,0.0
252,REA_VSA_EState5,rdkit,0.0
253,REA_VSA_EState6,rdkit,0.0
254,REA_HeavyAtomCount,rdkit,0.0
255,REA_NumAromaticCarbocycles,rdkit,0.0
256,REA_NumAromaticRings,rdkit,0.0
257,REA_NumHeteroatoms,rdkit,0.0
258,REA_NumRotatableBonds,rdkit,0.0
259,REA_Phi,rdkit,0.0
260,REA_MinAbsPartialCharge,rdkit,0.0
261,CAT_ACSF67,acsf,0.0
262,REA_MolLogP,rdkit,0.0
263,REA_MolMR,rdkit,0.0
264,REA_VSA_EState10,rdkit,0.0
265,SOL_ACSF113,acsf,0.0
266,SOL_ACSF114,acsf,0.0
267,SOL_ACSF120,acsf,0.0
268,SOL_ACSF121,acsf,0.0
269,CAT_ACSF132,acsf,0.0
270,CAT_ACSF130,acsf,0.0
271,SOL_ACSF123,acsf,0.0
272,REA_Kappa1,rdkit,0.0
273,SOL_ACSF128,acsf,0.0
274,SOL_ACSF129,acsf,0.0
275,SOL_ACSF130,acsf,0.0
276,SOL_ACSF131,acsf,0.0
277,SOL_ACSF140,acsf,0.0
278,SOL_ACSF14,acsf,0.0
279,SOL_ACSF142,acsf,0.0
280,SOL_ACSF143,acsf,0.0
281,SOL_ACSF148,acsf,0.0
282,SOL_ACSF149,acsf,0.0
283,SOL_ACSF150,acsf,0.0
284,SOL_ACSF151,acsf,0.0
285,SOL_ACSF162,acsf,0.0
286,SOL_ACSF156,acsf,0.0
287,SOL_ACSF157,acsf,0.0
288,SOL_ACSF158,acsf,0.0
289,SOL_ACSF159,acsf,0.0
290,SOL_ACSF160,acsf,0.0
291,SOL_ACSF161,acsf,0.0
292,SOL_ACSF141,acsf,0.0
293,SOL_ACSF9,acsf,0.0
294,SOL_ACSF11,acsf,0.0
295,CAT_ACSF66,acsf,0.0
296,SOL_ACSF13,acsf,0.0
297,CAT_ACSF65,acsf,0.0
298,CAT_ACSF117,acsf,0.0
299,CAT_ACSF118,acsf,0.0
300,SOL_fr_NH0,rdkit,0.0
301,SOL_fr_Al_OH,rdkit,0.0
302,SOL_MolMR,rdkit,0.0
303,SOL_ACSF20,acsf,0.0
304,SOL_ACSF21,acsf,0.0
305,SOL_ACSF22,acsf,0.0
306,SOL_ACSF112,acsf,0.0
307,SOL_RingCount,rdkit,0.0
308,SOL_Phi,rdkit,0.0
309,SOL_ACSF95,acsf,0.0
310,SOL_ACSF100,acsf,0.0
311,SOL_NumSaturatedRings,rdkit,0.0
312,REA_NumValenceElectrons,rdkit,0.0
313,SOL_ACSF101,acsf,0.0
314,CAT_ACSF135,acsf,0.0
315,SOL_ACSF102,acsf,0.0
316,CAT_ACSF134,acsf,0.0
317,SOL_ACSF103,acsf,0.0
318,SOL_ACSF104,acsf,0.0
319,SOL_ACSF105,acsf,0.0
320,SOL_ACSF23,acsf,0.0
321,CAT_ACSF48,acsf,0.0
322,CAT_ACSF49,acsf,0.0
323,CAT_ACSF50,acsf,0.0
324,CAT_ACSF51,acsf,0.0
325,SOL_SlogP_VSA5,rdkit,0.0
326,SOL_EState_VSA1,rdkit,0.0
327,SOL_EState_VSA10,rdkit,0.0
328,SOL_EState_VSA5,rdkit,0.0
329,SOL_EState_VSA6,rdkit,0.0
330,SOL_EState_VSA8,rdkit,0.0
331,SOL_fr_halogen,rdkit,0.0
332,SOL_VSA_EState1,rdkit,0.0
333,SOL_VSA_EState2,rdkit,0.0
334,SOL_VSA_EState3,rdkit,0.0
335,REA_Chi0v,rdkit,0.0
336,SOL_VSA_EState9,rdkit,0.0
337,SOL_HeavyAtomCount,rdkit,0.0
338,SOL_NHOHCount,rdkit,0.0
339,SOL_NOCount,rdkit,0.0
340,SOL_Ipc,rdkit,0.0
341,SOL_LabuteASA,rdkit,0.0
342,SOL_PEOE_VSA10,rdkit,0.0
343,SOL_PEOE_VSA14,rdkit,0.0
344,SOL_NumSaturatedHeterocycles,rdkit,0.0
345,CAT_SlogP_VSA10,rdkit,0.0
346,SOL_SMR_VSA3,rdkit,0.0
347,SOL_SMR_VSA5,rdkit,0.0
348,SOL_SlogP_VSA10,rdkit,0.0
349,SOL_SlogP_VSA3,rdkit,0.0
350,SOL_VSA_EState8,rdkit,0.0
351,REA_Chi3n,rdkit,0.0
352,REA_EState_VSA7,rdkit,0.0
353,CAT_ACSF64,acsf,0.0
354,REA_BCUT2D_MRLOW,rdkit,0.0
355,SOL_fr_ether,rdkit,0.0
356,REA_Kappa2,rdkit,0.0
357,REA_Kappa3,rdkit,0.0
358,REA_LabuteASA,rdkit,0.0
359,REA_PEOE_VSA6,rdkit,0.0
360,REA_PEOE_VSA7,rdkit,0.0
361,REA_PEOE_VSA8,rdkit,0.0
362,REA_SMR_VSA10,rdkit,0.0
363,REA_SMR_VSA7,rdkit,0.0
364,REA_SlogP_VSA12,rdkit,0.0
365,REA_Ipc,rdkit,0.0
366,REA_SlogP_VSA7,rdkit,0.0
367,REA_SlogP_VSA8,rdkit,0.0
368,REA_EState_VSA10,rdkit,0.0
369,REA_EState_VSA3,rdkit,0.0
370,CAT_ACSF119,acsf,0.0
371,SOL_NumAliphaticHeterocycles,rdkit,0.0
372,SOL_NumAliphaticRings,rdkit,0.0
373,SOL_NumHAcceptors,rdkit,0.0
374,SOL_NumHDonors,rdkit,0.0
375,SOL_NumHeteroatoms,rdkit,0.0
376,SOL_fr_alkyl_halide,rdkit,0.0
377,CAT_ACSF113,acsf,0.0
378,REA_Chi4n,rdkit,0.0
379,REA_Chi4v,rdkit,0.0
380,REA_HallKierAlpha,rdkit,0.0
381,REA_SlogP_VSA6,rdkit,0.0
382,CAT_fr_C_O_noCOO,rdkit,0.0
383,CAT_fr_Imine,rdkit,0.0
384,CAT_fr_NH1,rdkit,0.0
385,SOL_Chi0,rdkit,0.0
386,SOL_Chi0n,rdkit,0.0
387,SOL_Chi0v,rdkit,0.0
